onset	duration	trial_type
9.824	21	7
9.824	21	139
58.033	21	9
58.033	21	109
105.901	21	5
105.901	21	200
163.153	21	5
163.153	21	201
212.705	21	6
212.705	21	174
261.375	21	9
261.375	21	102
310.814	21	2
310.814	21	194
355.312	21	9
355.312	21	101
410.253	21	4
410.253	21	166
463.2	21	9
463.2	21	133
510.709	21	9
510.709	21	126
555.572	21	7
555.572	21	143
600.424	21	2
600.424	21	189
651.047	21	7
651.047	21	137
700.259	21	6
700.259	21	182
744.639	21	4
744.639	21	168
790.267	21	9
790.267	21	106
836.289	21	2
836.289	21	190
