onset	duration	trial_type
9.432	21	3
9.432	21	120
72.155	21	2
72.155	21	187
132.976	21	7
132.976	21	142
194.046	21	7
194.046	21	138
257.638	21	4
257.638	21	168
313.338	21	3
313.338	21	114
366.29	21	4
366.29	21	162
419.112	21	9
419.112	21	103
468.985	21	6
468.985	21	178
522.571	21	7
522.571	21	139
579.845	21	9
579.845	21	102
629.353	21	2
629.353	21	186
689.222	21	9
689.222	21	129
740.037	21	4
740.037	21	163
790.809	21	3
790.809	21	117
842.062	21	3
842.062	21	118
887.569	21	1
887.569	21	155
936.919	21	5
936.919	21	205
